ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
395511,"Чай Basilur Leaf of Ceylon Uva черный листовой, 200г",https://online.metro-cc.ru/products/200g-bazilur-uva,659,,BASILUR
181202,"Чай Ahmad Tea зеленый листовой, 200г",https://online.metro-cc.ru/products/ahmad-tea-zelenyj-listovoj-200g,329,,AHMAD TEA
615233,"Напиток чайный Nature's Own Factory Полезный гречишный с манго, 100г",https://online.metro-cc.ru/products/napitok-grechishnyj-s-mango-nature-039s-own-factory-100g,719,,NATURE'S OWN FACTORY
596161917,"Чай зеленый Richman Young Hyson, 100г",https://online.metro-cc.ru/products/100g-chay-zelenyy-richman-young-hyson,229,159,RICHMAN
624037,"Напиток чайный Sonnentor Радуга хорошего настроения травяной, 50г",https://online.metro-cc.ru/products/travyanoj-raduga-horoshego-nastroeniya-sonnentor-50-g,459,,SONNENTOR
473721201,"RIOBA Чай зеленый классический (2г x 100шт), 200г",https://online.metro-cc.ru/products/100h2g-chay-rioba-zelenyy-klassicheskiy,469,,RIOBA
313874895,"Чай Азерчай черный букет (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-chay-azerchay-chyornyy-buket-paketirovannyy,112,,АЗЕРЧАЙ
411936,"Чай Майский черный (2г х 200шт), 400г",https://online.metro-cc.ru/products/chernyj-majskij-v-sashetah-200h2g,669,,МАЙСКИЙ
474377640,"RIOBA Чай черный классический (2г x 100шт), 200г",https://online.metro-cc.ru/products/100h2g-chay-rioba-chernyy-klassicheskiy,429,,RIOBA
102543,"Чай Newby Ассам черный листовой, 100г",https://online.metro-cc.ru/products/chernyj-newby-assam-100g,789,,NEWBY
6133901,"Чай черный Алтайвита со смородиной (2г х 15пак), 30г",https://online.metro-cc.ru/products/chernyj-altajvita-so-smorodinoj-15x2g,124,109,АЛТАЙВИТА
615944,"Чай Eastford зеленый с мятой, мелиссой, цедрой лимона и апельсина (4г х 12шт), 48г",https://online.metro-cc.ru/products/48g-eastford-zel-s-myatoj-cedroj-limona-apels,199,,EASTFORD
615467,"Напиток чайный Nature's Own Factory Полезный гречишный с кокосом, 100г",https://online.metro-cc.ru/products/napitok-grechishnyj-s-kokosom-nature-039s-own-factory-100g,729,,NATURE'S OWN FACTORY
550287126,"RIOBA Напиток чайный ройбуш ягодный (1.5г x 25шт), 37г",https://online.metro-cc.ru/products/rioba-napitok-chaynyy-roybush-yagodnyy-15g-x-25,121,,RIOBA
112138,"Чай Лисма черный крепкий (2г х 25шт), 50г",https://online.metro-cc.ru/products/lisma-chernyj-krepkij-25h2g,69.9,44.9,ЛИСМА
550299061,"RIOBA Чай черный Эрл грей (2г x 25шт), 50г",https://online.metro-cc.ru/products/rioba-chay-chernyy-erl-grey-2g-x-25,115,,RIOBA
473943965,"RIOBA Чай зеленый с мелиссой (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-chay-rioba-zelenyy-s-melissoy,114,,RIOBA
623577,"Напиток чайный Sonnentor Время ложиться спать травяной, 50г",https://online.metro-cc.ru/products/travyanoj-vremya-lozhitsya-spat-sonnentor-50-g,459,,SONNENTOR
604484840,"Чай черный Tess Pleasure шиповник-яблоко листовой, 100г",https://online.metro-cc.ru/products/100g-chay-chernyy-tess-pleasure-shipovnikyabloko-listovoy,164,109,TESS
318027211,"Чай Just T зеленый China Green Jewel (2г x 20шт), 40г",https://online.metro-cc.ru/products/20h2g-chay-just-t-zelenyy-china-green-jewel-pak,429,359,JUST T
473943970,"RIOBA Чай зеленый классический (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-chay-rioba-zelenyy-klassicheskiy,99.9,,RIOBA
240886662,"Напиток Nature's Own Factory гречишный чайный банан-клубника, 75г",https://online.metro-cc.ru/products/75g-grechishnyy-chaynyy-napitok-natures-factory-bananklubnika,499,399,NATURE'S OWN FACTORY
318016541,"Чай Just T зеленый Unforget Morrocan mint (1г x 20шт), 20г",https://online.metro-cc.ru/products/20h1g-chay-just-t-zelenyy-unforget-moroccan-mint-pak,429,359,JUST T
413151204,"Чай Т-Eco черный байховый среднелистовой, 200г",https://online.metro-cc.ru/products/200g-chay-t-eco-chernyy-bayhovyy-srednelistovoy,62.9,,Т-ECO
601354158,"Чай черный Befruitbe крупнолистовой, 50г",https://online.metro-cc.ru/products/50g-chay-chernyy-befruitbe-krupnolistovoy,92.9,,BEFRUITBE
601742803,"Чай черный Принцесса Ява сочный лимон в пакетиках (1.5г x 25шт), 38г",https://online.metro-cc.ru/products/25shth15g-chay-zelenyy-printsessa-yava-sochnyy-limon-v-paketikah,75.9,60.9,ПРИНЦЕССА ЯВА
617467,"Чай Curtis Delicate Black черный мелколистовой (1.7г х 100шт), 170г",https://online.metro-cc.ru/products/100h17g-curtis-delicate-black,309,249,CURTIS
316700005,"Чай Just T черный Baby It's cold outside (1.75г x 20шт), 35г",https://online.metro-cc.ru/products/20h175g-chay-just-t-chyornyy-baby-its-cold-outside-pak,429,359,JUST T
6133786,"Чай черный Алтайвита с шиповником (2г х 15пак), 30г",https://online.metro-cc.ru/products/chernyj-altajvita-s-shipovnikom-15x2g,124,109,АЛТАЙВИТА
225983,"Чай Принцесса Нури высокогорный черный (2г x 50 шт), 100г",https://online.metro-cc.ru/products/chernyj-princessa-nuri-vysokogornyj-50h2g,119,99.9,ПРИНЦЕССА НУРИ
619892,"Напиток чайный Konigin Herbarium Здоровый сон (1.5г х 20шт), 30г",https://online.metro-cc.ru/products/20h15g-nap-konigin-herbarium-zdorovyj-son,108,,KONIGIN HERBARIUM
167748,"Чай Ahmad Tea Ceylon Tea Orange Pekoe черный листовой, 200г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-bajhovyj-cejlonskij-orange-pekoe-200g,409,299,AHMAD TEA
538453,"Чай Green Panda Нефритовый сад зеленый сенча крупнолистовой, 100г",https://online.metro-cc.ru/products/kitajskij-zelenyj-nefritovyj-sad-green-panda-100g,266,,GREEN PANDA
